Name,Description,Code,Audit Examiner,Audit Supervisor,Claims Adjuster,Community Admin,Forms Admin,Integration Admin,Loss Control,Premium Auditor,Processor,Producer,Producer Clerical,Producer Code - Basics,Producer Code - Cancellations,Producer Code - Policy Changes,Producer Code - Renewals,Producer Code - Submissions,Rating Analyst,Rating Supervisor,Reinsurance Admin,Reinsurance Manager,Reporting Admin,Rule Admin,Superuser,Tools View,Underwriter,Underwriter Assistant,Underwriting Supervisor,User Admin
Bind rewrite new account,Permission to bind a rewrite new account,bindrewrnewacct,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Bind submission,Permission to bind a submission,bindsubmission,,,,,,,,,,x,,,,,,x,,,,,,,x,,x,x,x,
Rate policies in bulk for rating impact analysis,Permission to rate policies in bulk for rating impact analysis,bulkpolicyratingtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manage business week,"Permission to create, edit, or delete business week",buswkmanage,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
View business week,Permission to view the list of business week,buswkview,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Cancellation can choose carrier as source,Permission to be able to set the carrier as the source,cancelcarriersource,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Cancellation override effective date,Permission to set effective date of cancellation to less than calculated date,cancelovereffdate,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,,x,
Cancellation override refund method,Permission to override the default refund cancellation method,canceloverrefund,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Cancellation rescind,Permission to reschedule a cancellation,cancelreschedule,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Cancellation rescind,Permission to rescind a cancellation and make other modifications during the waiting period,cancelrescind,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
View cancellation wizard documents,Permission to view the cancellation wizard documents page,cancwizdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard history,Permission to view the cancellation history page,cancwizhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard notes,Permission to view the cancellation wizard notes page,cancwiznotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard prior history,Permission to view the cancellation wizard prior history page,cancwizpriorhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard rating inputs,Permission to view the cancellation wizard rating inputs page,cancwizrateinputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard risk analysis,Permission to view the cancellation wizard risk analysis page,cancwizrisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard risk history,Permission to view the cancellation wizard risk history page,cancwizriskhist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard job roles,Permission to view the cancellation wizard job roles page,cancwizroles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View cancellation wizard workplan,Permission to view the cancellation wizard workplan page,cancwizworkplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Contact Subtype,Permission to change contact subtype,changecontactsubtype,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Complete audit,Permission to complete audits,completeaudit,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,
View contact file claims,Permission to view contact file claims page,contactclaims,x,x,,,,,,x,,x,,x,,,,,,,,,,,x,,x,x,x,
Copy policy data,Permission to copy entities from one Policy to another,copypolicydata,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,x,x,
Create audit,Permission to create an ad-hoc audit,createaudit,x,x,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create cancellation,Permission to cancel a policy,createcancellation,,,,,,,,,,x,,,x,,,,,,,,,,x,,x,x,x,
Create UW Issue,Permission to create an UW Issue,createevalissue,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
Create internal notes,Permission to create an internal note,createintnote,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create issuance,Permission to create a new issuance,createissuance,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
Create manual uw issue,Permission to create manual uw issues,createmanualuwissue,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,
Create policy change,Permission to create a midterm change,createpolchange,,,,,,,,,,x,,,,x,,,,,,,,,x,,x,,x,
Create referral reason,Create referral reason,createreferralreason,x,x,,,,,,x,,,,,,,,,,,,,,,x,,x,x,x,
